店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
醉巴鲜烤鱼(国贸店),5886870,烤鱼,醉巴鲜烤鱼,1922297,http://p0.meituan.net/poi/f206b56999be3d2a65b415702d2bd47e23447.png,4.5,59,85,国贸360,166,34.78494,113.681334,金水区丰产路与花园路交叉口往北50米国贸360负一楼家乐福超市入口处,-1,"4527,",,每满100减15（买单立享）;双人餐99元，2-3人餐139元，4-5人餐179元，5-6人餐218元;85代100元;,周一至周日 10:00-22:00,0371-68869168,222946,茂润烤鱼外皮香脆，肉质软嫩、色泽金黄味而鲜美、营养丰富，具有部分药理作用的突出特点。在烹制过程中，烤鱼采用了多达数十种的香料及调料，将清理过的鲜活鱼进行侵、腌、泡，在煎烤过程中科学运用火候并一气呵成，有效防止了因低、高温对营养带来的损失，使鱼鲜香、味美的同时更保持了营养**化。一经出现即掀起了消费热潮，深厚大众的喜爱,,False,0,724,222946,True,False
状元烤场(东风路天旺店),61502484,烤肉自助,,0,,4.1,66,65.9,天旺广场,166,34.798632,113.641496,金水区东风路与天明路交叉口向西100米路北天旺优库3楼,3,,,单人午餐65.9元，单人晚餐74.9元;,周一至周日 11:00-14:30 17:00-21:30  2019-02-04至2019-02-07 休息,0371-88815511/400-003-1321,215244,,,False,0,1227,215244,True,False
韩风源自助烤肉(西大街直营店),4114262,烤肉自助,韩风源烧烤涮自助餐厅,1146928,http://p1.meituan.net/poi/d563c2fb0ed75275713142adac9ff85215711.png,5,48,1,火车站/二七广场,167,34.750664,113.674139,二七区西大街170号（郑州三中隔壁）,,"1354,1353,4519,",有停车位,单人午/晚餐1元，单人午/晚餐51.9元，单人午餐56.9元，单人晚餐62.9元;39.9代69元;,"周六,周日 11:00-22:00  周一至周五 11:00-14:30 18:00-21:30",0371-55136837,210203,韩风源烧烤涮自助餐厅拥有烧烤系列、海鲜系列、水果系列、寿司系列等等。百余种菜品，现场烹调料理，自主挑选食材，更有花样繁多的酒水、饮料果汁，全部免费无限畅饮，使您充分体验每道佳肴新鲜上桌时所带来的优越享受。 店内装潢简洁大气，可以满足不同人数的需要。深色的氛围，宽厚的陈设，简单的线条勾勒出店的主体，让您尽享美食的无限乐趣。,,False,1,893,210203,True,False
汉丽轩烧烤涮自助餐厅(瀚海北金店),41397402,烤肉自助,汉丽轩,23787,http://p1.meituan.net/poi/23c31c21b38ee08a975cfb821d4f5600109505.png,3.2,48,1,瀚海北金,166,34.809296,113.665621,金水区北金时尚购物广场2层B01室,2,,,单人午/晚餐1元，单人午餐46.9元，单人午餐49.9元，单人晚餐51.9元，单人晚餐54.9元，双人午餐93.5元，双人晚餐103.5元，[4]人午餐186.5元，[4]人晚餐206.5元，[6]人午餐279.8元;51.9代59元;,周一至周日 11:30-15:00 17:30-22:00  2019-02-03至2019-02-09 休息,0371-56081599,208793,,,False,0,897,208793,True,False
佰烧海鲜烤肉自助(锦艺店),52633259,综合自助,佰烧海鲜烤肉自助,1883116,http://p0.meituan.net/poi/026b0308a6a99fab2ad43d9a417dacdf19342.png,4,58,63.5,锦艺城,165,34.762169,113.609208,中原区桐柏路与棉纺路交口锦艺城购物中心3楼B区,3,"1347,4664,",,单人午餐63.5元，单人午/晚餐73.5元，双人午/晚餐147元，[4]人午/晚餐294元，[6]人午/晚餐441元;,周一至周日 11:00-15:00 17:00-22:00,0371-88811768/88812768,205276,,,False,0,2093,205276,True,False
韩风源自助烤肉(建文店),65704391,烤肉自助,韩风源烧烤涮自助餐厅,1146928,http://p1.meituan.net/poi/d563c2fb0ed75275713142adac9ff85215711.png,5,50,1,建文新世界,166,34.774888,113.668615,金水区黄河路与文化路交叉口向东100米中孚大厦2楼（地铁5号线人民医院站下车D出口出即可）,,,,单人午/晚餐1元，单人午/晚餐51.9元，单人午餐56.9元，单人晚餐62.9元;39.9代69元;,"周一至周五 11:30-14:30 18:00-21:30  周六,周日 11:00-21:30",0371-55396123/15736769313,204410,,,False,0,1385,204410,True,False
巴西金牌烤场(紫荆山店),41664913,烤肉自助,巴西金牌烤场,2881004,,4.8,52,51.9,人民路/紫荆山,166,34.761413,113.681703,金水区紫荆山路人民路南50米（紫荆山百货南门对面）,,"1355,4525,1354,",,单人午/晚餐51.9元，单人午餐53.9元，其他62.9元，双人午/晚餐125.8元，[4]人午/晚餐251.6元;,周一至周日 11:00-14:30 17:30-22:00,0371-66239728,179733,巴西时尚优质烤场是郑州**家各种风味时尚烤肉为主题的自助餐厅。同时拥有海鲜、精美凉菜、中式热菜、时令果蔬、西式糕点、时尚饮品及酒水系列等近200余道美味食品供您尽情享用。,,False,0,990,179733,True,False
宋公子牛排海鲜自助(无限城店),66391316,海鲜自助,,0,,5,45,49.9,火车站/二七广场,167,34.74924,113.665771,二七区德化街36号无限城购物中心5层,5,"1353,1352,",停车位收费标准：详情店内咨询,单人午/晚餐51.9元起;49.9代79元;,周一至周日 11:00-22:00,0371-55912885,178654,,,False,0,2013,178654,True,False
鼎极金牌自助烤肉火锅(航海路店),45996,综合自助,鼎极金牌自助烤肉,1198941,http://p0.meituan.net/poi/f0412df612be48e91cf5515b52c88bc569168.png,3.4,47,45,富田太阳城,168,34.726375,113.715257,管城回族区航海东路富田太阳城东方美食街107号（西北角，盛庭酒店一楼）,,,免费停车,单人午/晚餐45元，单人午餐45元，双人午餐90元，[4]人午餐180元;,周一至周日 11:30-14:00 17:30-22:00,0371-53766669,177909,鼎极优质自助烤肉，海鲜、蔬菜、水果及各式时尚饮品于一体的自助海鲜烤肉广场。各种烤肉、精美菜肴、西式糕点、日式寿司等齐聚一堂，中西饮食文化大合壁。店内装修以纯白色为主调，古代“鼎”形状的图案洋溢店中，文化厚重。每个座位都贴心的安装了专业的抽烟机，解决了传统烤肉烟雾大的问题，为顾客营造了一个干净舒适的环境。,,False,0,267,177909,True,False
老陈鸭肠王,68128812,烤串,,0,,5,14,0.22,鑫苑鑫都汇,167,34.733897,113.655429,二七区京广路与永安街交叉口向西200米路北（椒盐豆腐）,,,,0.2元鸭肠串，0.4元面筋，4.9元鱼豆腐;18.8代20元;,周一至周日 11:00-23:30  非营业时段 2018-02-10至2018-02-24 全天,13033730333,169489,,,False,1,344,169489,True,False
启缘海鲜烤肉自助餐厅(二七广场店),67822767,烤肉自助,,0,,4.2,54,55.8,火车站/二七广场,167,34.750289,113.664925,二七区百年德化风情购物公园B区二楼,2,"1353,1352,",停车位收费标准：详情店内咨询,单人午/晚餐55.8元，单人午餐62.8元，单人午/晚餐65.8元，双人午/晚餐130.8元，单人午/晚餐262.8元;58代79元;,周一至周日 11:00-14:00 17:00-22:00  2019-02-01至2019-02-12 休息,0371-63384633,165914,,,False,0,500,165914,True,False
方燕烤猪蹄(安徽名㫓二七万达店),6308641,猪脚,方燕烤猪蹄,1688264,http://p1.meituan.net/poi/7a13124be638e4eccc9a17a9fc7c5fcd8533.png,5,10,10.9,二七万达,167,34.719214,113.642609,二七区大学南路二七万达金街1号门南50米路东（杨国有麻辣烫对面）,,,,10.9元烤猪蹄，21.8元2人餐;10.9代12元;,周一至周日 10:00-22:30,15638123727,160684,,,False,1,177,160684,False,False
汉轩宫烤肉火锅自助餐厅(沃金店),6358521,综合自助,汉轩宫烤肉火锅自助餐厅,2879952,,4.8,48,28.9,沃金/山顶福都,3254,34.560249,113.859175,中牟县航空港区郑港四街与郑港七路交叉口向南200米路西（沃金商业广场2楼）,,"4541,",,单人午/晚餐28.9元，单人午餐51元，单人晚餐55元，双人午餐99.9元，双人晚餐108元;,周一至周日 11:00-23:00,0371-55338866,149889,汉轩宫是港区一家正宗韩式烤肉自助餐，地处沃金商业广场商圈，拥有800余平米的大型型烤肉自助餐，周围北京华联、欢乐国际影城、沃金大酒店、KK派对KTV等品类齐全，处处充满着时尚优雅的环境，让食客进去就能感受到一种时尚的气息，这里经营多种菜品，以韩式烤肉和日本铁板烧为主，同时也为广大食客提供海鲜、时令蔬菜等菜品，丰富的菜肴和热情周到的服务，加上味道的鲜美，让这里成为各年龄段食客聚会的不错选择。欢迎新老顾客到店品尝。,,False,0,87,149889,True,False
傣妹火锅(德化店),42261563,云南火锅,傣妹火锅,24993,http://p0.meituan.net/poi/803681af16c4210dbe8d2f3bf24523a873529.png,3.9,44,82,火车站/二七广场,167,34.750167,113.664635,二七区兴盛路百年德化三楼美食天街B区,3,"1353,1352,",,双人餐82元，3-4人餐139元，5-7人餐186元，8-10人餐259.9元;91.9代100元;,周一至周日 09:00-00:00  2019-02-04 休息,0371-55621672/15136420116,146625,,,False,0,179,146625,True,False
俄士厨房(二七万达店),50386489,俄罗斯菜,,0,,5,84,69,二七万达,167,34.71782,113.643003,二七区大学南路与航海路交叉口万达广场三楼（万达影城楼下）,3,,,单人餐69元，双人餐199元起，4人餐359元;92代100元;,周一至周日 10:00-22:00,0371-60302990,140292,,,False,1,871,140292,True,False
俄士厨房(未来路店),42179395,俄罗斯菜,,0,,4.8,94,69,曼哈顿广场,166,34.772073,113.707192,金水区纬五路未来路交叉口西北角（金陵海悦商务酒店南侧）,,,,单人餐69元，双人餐199元起，4人餐359元;92代100元;,周一至周日 11:00-22:00,0371-65688383,140062,,,False,1,585,140062,True,False
韩鲜坊韩式烧烤涮自助餐厅(农业路经三路店),5133386,综合自助,韩鲜坊烧烤涮自助餐厅,1802084,http://p0.meituan.net/poi/472f9c15d9067f7ee18dfcf1ec6af4c358771.png,4.1,62,50,农科路酒吧街,166,34.7872,113.691,金水区农业路与经三路交叉口向西100米路北豪客来旁（金水区经三路60号配楼南三层）,,"4527,",,单人午/晚餐50元，单人午餐57.9元，单人午/晚餐63.9元，双人午餐115.8元，双人午/晚餐127.8元，[4]人午餐228.9元，[4]人午/晚餐253.9元;63.9代69元;,周一至周日 11:30-14:00 18:00-21:30,0371-56008877/56009977,139289,"韩鲜坊围绕""营业与特色”，打造都市人的新型休闲烤肉文化。 我们不仅采用上乘肉质，杜绝任何添加剂，并且引进健康环保炉具，营造“无油烟、无碳气”的绿色时尚环境。吃的放心、吃的舒适，如此简单！",,False,0,503,139289,True,False
和米堂(国贸360广场店),4245762,小吃快餐,,0,,4.6,19,13.8,国贸360,166,34.785039,113.679984,金水区花园路39号国贸360广场B1层,-1,"4527,",,13.8元原味章鱼烧;36代40元;,周一至周日 10:00-21:30,0371-87090933,137024,,,False,1,239,137024,True,False
锅大侠火锅(大上海城店),2468393,四川火锅,锅大侠火锅,1097547,http://p1.meituan.net/poi/0b5890a3fb68c495cf7b260a854f809a15368.png,5,40,82,大上海城,168,34.756023,113.669006,管城回族区东太康路28号大上海城4层,4,"1354,1353,",停车位收费标准：电讯商家,双人餐82元，2-3人餐89元，4-5人餐168元，6-8人餐243元，8-10人餐319元;90代100元，178代200元;,周一至周日 10:00-23:30,0371-66209993/18703718991,132860,锅大侠餐饮连锁成立于2009年，是一家以经营火锅为主题的休闲式连锁餐厅。公司自2009年创办以来历经四年的高速发展，现已有10余家直营连锁店、中央厨房加工基地和物流配送中心。食品加工真正实现了从采购源头、仓储加工到配送环节的安全性、高效性、便捷性的标准化管理。公司总部从成立之初七人发展到现在的六十余人，门店各岗位员工三百余人。公司下设董事会、管理中心、财务部、运营部、行政部、后勤部、人力资源部、培训部、物流仓储部、营销企划部、工程部、IT部、质检部、加盟部、采购部15个部门。锅大侠火锅秉承诚信经商、以诚为本、顾客至上的经营原则，以思远、拼搏、实干、高效、共赢的企业精神，力争将锅大侠铸造成百姓与同行尊重的火锅连锁品牌。具有中国元素的锅大侠火锅，大胆创新“挥毫泼墨”的设计风格，以都市时尚为装饰主题、以实惠火锅新主张的经营理念，为顾客提供一个休闲、聚会、购物小憩、情侣约会的快捷舒适的用餐场所、并以专业、专注细节的服务理念为顾客提供一流的就餐服务。锅大侠火锅经过不断探索与改良，精选几十余种上等药材和香料，结合现代营养学，应用最新烹饪技术精心熬制而成。富含维生素、蛋白质、锌、钙等多种营养成分，具有开胃、养颜、食后不上火等特点。公司力图将“锅大侠”品牌塑造成民族餐饮行业的“百年老店”，为中国餐饮行业的发展做出贡献。,,False,0,338,132860,True,False
汉轩宫海鲜火锅烤肉(大上海城店),50666088,综合自助,汉轩宫烤肉火锅自助餐厅,2879952,,5,55,29.9,大上海城,168,34.756626,113.667622,管城回族区东太康路28号大上海城3层,3,"1353,1354,",,单人午/晚餐29.9元，单人午/晚餐51.9元，单人午餐55元，单人午/晚餐59.9元，双人午餐99元，双人晚餐116元，[10]人午/晚餐520元;49.9代79元;,周一至周日 11:30-14:30 16:30-22:30,0371-55338811,122944,,,False,0,811,122944,True,False
佳客来牛排西餐厅(东风路店),54835,牛排,佳客来,204252,http://p1.meituan.net/poi/08c88b324bb987790e6c5c74e8a6298b18355.png,5,45,52,财院/轻工业学院,166,34.799869,113.656451,金水区东风路与信息学院路交叉口向西100米路北（轻工业学院斜对面）,,,,单人餐52元，双人餐99元起，3人餐149元;,周一至周日 11:30-14:00 17:30-22:00,0371-86092688/13837193466,121157,佳客来自1998年创立于福州，是一家专业从事牛排制作与销售的餐饮连锁企业，创始人张建仙先生经过十五年的不断进取与追求卓越，一直以来，公司以奉行“品质为本，诚信至上”的企业精神，秉持“卓越的品质，快捷的服务，清洁的环境，合理的价格”的经营宗旨，并提炼出“联手，同心，共赢”的经营理念，在消费者心目中树立了良好的企业形象，目前在全国已开设上百家连锁店，员工几千人，并以每年发展20家左右的连锁店为目标持续稳定发展，不断发展壮大的佳客来诚邀有志之士携手共创辉煌明天,,False,1,105,121157,True,False
开饭啦(中原万达店),2392959,快餐,开饭啦,522113,,3.5,12,13,中原万达,165,34.745824,113.600799,中原区中原路171号万达广场中原金街（郑州中原店）,1,,,每满50减5（买单立享）;13元超值单人餐，15元单人餐;15代20元，25代33元;,周一至周日 09:00-21:00  2019-02-01至2019-02-12 休息,0371-55183278/15890132738,119073,开饭啦是一家专业的中式快餐店，以经济的价位、丰盛的口味、丰富的品种、精心的选料、规范烹制、严格的把关、科学的管理，让你饱享美食的同时，又多了一份健康和放心。营养美食看的见，天天健康好心情。一次选择， 钟爱一生,,False,1,171,119073,True,False
胡闯渔粉(东明路店),72888592,小吃快餐,,0,,4.6,14,5,经三路沿线,166,34.77913,113.700007,金水区东明路与红专路路南30米（舒来喜火锅南边）,,,,单人餐5元起;9.9代12元;,周一至周日 09:00-21:30  2019-01-31至2019-02-12 休息,13103829609/18137835886,114119,,,False,1,693,114119,True,False
满芳庭羊肉汤(第三大街店),5670396,羊肉汤,,0,,5,28,9.8,经开区,168,34.72322,113.74619,管城回族区第三大街110号院1层11号（第三大街与经北一路交叉口向西10米路南）,,,商家服务：免费提供20个停车位,单人餐9.8元起，2-3人餐69元，4人餐98元，6人餐168元，4-6人餐218元，6-8人餐336元，10-12人餐436元;45代50元;,周一至周日 09:30-14:00 16:30-22:00  2019-04-06 休息,0371-58566516,112827,满庭芳羊肉汤位于经开区第三大街与经北一路交叉口向西10米路南。满芳庭羊肉汤和西湖满芳庭是一家以杭帮菜为主，多菜品柔合，特色鲜明的时尚性餐饮企业。我们将用热情周到的服务欢迎您的到来,,False,1,508,112827,False,False
汉轩宫海鲜火锅烤肉(德化新街店),50173135,综合自助,,0,,4.5,43,21.9,管城回族区,168,34.745147,113.666696,管城回族区钱塘街与操场街交叉口（银基商贸城对面）,2,"1353,1352,",,单人午/晚餐21.9元，单人午/晚餐44.9元，单人午/晚餐49.9元，单人午/晚餐51.9元，单人午/晚餐61.9元，[4]人午餐192.6元，[4]人午/晚餐203元，[6]人午/晚餐284元，[6]人午/晚餐302元，单人午/晚餐439.9元;46.9代69元;,周一至周日 11:00-21:00,0371-55338822,112196,,,False,0,218,112196,True,False
百年老妈火锅(玉凤路店),2372045,四川火锅,百年老妈火锅,826173,http://p1.meituan.net/poi/f114296fb89b693ffcb18025058d68d864671.png,4.8,65,85,曼哈顿广场,166,34.76164,113.712842,金水区金水路玉凤路交叉口东南角名门城市广场3楼（东方金柜KTV楼下）,3,"1357,1356,",,每满100减15（买单立享）;双人餐89元，3-4人餐178元，5-6人餐288元;85代100元;,周一至周日 11:00-14:00 17:00-02:00,0371-67670888,104939,百年老妈火锅成立于1996年，总部坐落于中国“绿城”郑州市。百年老妈集团经过15年的健康快速发展，已成为一家专注于绿色火锅系列产品开发及品牌化经营的集团公司。以“成为中国火锅餐饮行业的领跑者”为愿景，立足可持续发展，做百年老店的经营总目标。目前已拥有涉及酒店管理、投融资顾问、食品加工、酒品酿造、教育咨询、装饰装修等多个跨领域的子公司及百年老妈、百年老妈升级版等多个火锅餐饮品牌。,,False,0,160,104939,True,False
先生的秘制排骨,4260943,排骨米饭,嗨先生的肉肉秘制排骨,2880349,,5,14,5.3,锦艺城,165,34.762525,113.611736,中原区桐柏路与棉纺路锦艺国际华都1期南门向西80米（商铺号6-02）,,"4664,1347,",,5.3元疯狂旋风薯塔套餐，11.3元秘制肉柳，13.5元秘制排骨，13.5元大份秘制肉柳，15.3元秘制肉柳单人套餐，17.5元秘制排骨套餐，18元大份秘制排骨，24.8元秘制排骨加肉柳;13.5代15元;,周一至周日 10:00-22:00  非营业时段 2018-02-15至2018-02-20 全天,15638872838/15136496321,102342,,,False,1,268,102342,True,False
胡闯渔粉(国贸店),73482602,小吃快餐,,0,,5,14,11,国贸360,166,34.783208,113.679205,金水区花园路与丰产路交叉口向西100米关虎屯商业步行街,,"4527,",,单人餐11元起;16.9代20元;,周一至周日 09:30-22:30,18839560014/15333801587,101380,,,False,1,0,101380,True,False
格瑞欧海鲜自助烤肉火锅(光彩店),164819569,综合自助,,0,,5,59,1,大上海城,168,34.755278,113.668524,管城回族区东太康路天达光彩美食汇2楼（大上海城南门屈臣氏正对面）,,"1353,1354,",,单人午/晚餐1元，单人午/晚餐51.9元，单人午餐52.9元，单人午/晚餐62.9元，双人午/晚餐125.9元;49.9代69元;,周一至周日 11:00-23:00,0371-56775858,101267,,,False,0,1393,101267,False,False
汉釜宫海鲜自助烧烤涮(万象城店),67902504,烤肉自助,,0,,4.1,51,19,万象城,167,34.75378,113.661074,二七区铭功路与解放路交叉口向北100米路东汇港新城3楼（万象城西南门对面蒙娜丽莎3楼）,,"1353,1352,",,单人午/晚餐19元起;42代79元;,周一至周日 11:00-22:30  2019-02-01至2019-02-09 休息,0371-55988388/18339208775,98511,,,False,0,1158,98511,True,False
王婆大虾(中原路店),6147925,虾蟹火锅,王婆大虾,796533,http://p1.meituan.net/poi/f6e746a648faa1a04ea79f0bc9058ede56012.png,4,43,88,医学院,167,34.74812,113.65272,二七区中原路与京广路交汇处向东30米路北（距郑州火车站约387米）,,"1352,1351,",免费提供4个停车位,每满100减5（买单立享）;双人餐88元，3-4人餐118元，5-6人餐168元，6-8人餐198元，8-10人餐238元;89.9代100元;,周一至周日 11:00-14:00 17:00-22:00  2019-02-01至2019-02-12 休息,18538513796,98281,麻、辣、鲜、香的王婆大虾和颇具特色的王婆四大盆，一直被受广大消费者的赞誉,,False,1,101,98281,True,False
